,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,OtherBanksAccounts,ShoppingOnlinePerMonth,AverageInterestRateOnCreditLine,NumberOfTransactionsForGamblingCompanies,NumberOfComplaintsOnSocialMediaOnBanks,NumberOfPagesWithLikesOnFacebook,NumberOfAccessedAddsOnFacebook
87,0,0.360509632,58,1,3282,NA,8,0,2,0,0,6,73,5,74,36,37,402
88,0,0.003749688,64,0,0.004061231,3200,5,0,0,1,0,0,26,18,94,23,13,346
89,1,0.734477501,45,0,0.591477634,4716,13,0,2,0,2,3,7,19,90,78,13,104
90,0,0.080564168,60,0,0.487288997,4916,15,0,2,0,0,4,65,12,50,10,49,567
91,0,0.039387786,51,0,15466,0,7,0,0,0,0,1,1,19,67,64,75,888
92,0,0.023767433,83,0,0.123797734,10500,13,0,0,0,0,9,38,13,49,95,60,378
93,0,0.784835658,52,0,2662,NA,10,0,2,1,0,2,8,9,84,46,71,558
94,0,0.888822236,34,0,0.368403802,3050,4,0,0,0,1,2,28,16,62,26,69,874
95,0,0.791173628,44,0,0.51241535,3100,5,0,1,0,0,7,59,16,18,27,96,448
96,0,0.24535301,37,0,0.288417167,6500,11,1,1,1,0,8,76,19,58,79,1,871
97,0,0.542242704,48,2,10,NA,2,0,0,0,NA,9,16,13,48,23,25,521
98,0,0.010531379,57,0,0.280664917,5714,6,0,1,0,0,9,83,11,83,1,2,505
99,0,0.363199686,32,0,0.480523957,2900,4,0,1,0,0,4,78,14,25,12,19,747
100,0,0.032617977,75,0,0.006799093,7500,4,0,0,0,0,2,71,19,51,89,47,691
101,0,0.013024674,61,0,15,NA,4,0,0,0,0,5,84,10,86,60,32,981
102,0,0.019387779,34,0,0.32591852,4000,9,0,1,0,0,8,43,18,6,92,36,674
103,0,0.634485057,52,0,0.138238573,2690,2,0,0,0,0,6,84,6,59,46,18,453
104,0,0.888008615,44,0,0.299246282,4908,8,0,0,0,1,0,79,15,25,42,28,605
105,0,0.003108849,57,0,0.258939285,8333,7,0,1,0,0,0,44,13,35,20,52,484
106,0,0.114830941,46,0,0.026235802,6250,6,0,0,0,3,1,5,16,86,99,16,51
107,0,0.018886792,80,0,0.003478779,10060,5,0,0,0,0,8,9,15,92,74,12,622
108,0,0.635415157,32,0,0.519493502,3000,4,0,1,0,1,5,7,8,21,8,83,731
109,0,0.9999999,62,0,0.664221287,8314,8,0,3,0,0,0,2,10,65,53,6,355
110,0,0.041257909,61,0,4739,NA,11,0,4,0,NA,9,9,0,0,0,8,339
111,0,0.096737158,47,0,0.009748781,8000,2,0,0,0,2,2,36,4,30,4,20,300
112,0,0.31844615,58,0,1.382629108,3833,26,0,4,0,0,8,72,16,23,41,72,328
113,0,0.186987534,52,0,0.023993145,3500,4,0,0,0,0,6,89,9,16,30,92,887
114,0,0.006541851,68,0,0.108089191,10000,10,0,2,0,1,3,65,11,32,52,1,832
115,0,0.180972181,39,1,0.384441575,3097,7,0,1,0,3,4,4,11,22,9,65,679
116,0,0.00750765,74,0,7,NA,4,0,0,0,0,4,27,16,74,80,99,130
117,0,0.06790706,46,0,0.149103029,10200,6,0,2,0,0,5,4,11,74,5,80,338
118,0,0.033461782,44,0,1.243362832,4067,5,0,2,0,1,3,32,1,2,37,9,957
119,0,0.007520592,68,0,269,NA,4,0,0,0,0,1,89,15,46,47,36,504
120,0,0.015271802,68,0,0.12290366,8168,6,0,0,0,0,0,94,0,76,5,95,885
121,0,0.51712072,31,0,0.123752495,500,3,0,0,0,0,1,29,19,66,86,67,468
122,0,0.317975796,34,0,0.297933792,4500,11,0,2,0,0,6,37,15,58,53,1,900
123,0,0.297594642,67,0,0.239507959,4145,13,0,0,0,0,2,64,10,69,68,75,628
124,0,0.444837661,58,0,0.366545247,14000,9,0,2,1,4,2,99,12,96,84,80,582
125,0,0.277956679,39,0,4090,NA,9,0,2,0,0,5,82,18,36,53,64,864
126,0,0.003722015,58,0,0.63332301,3228,5,0,1,0,0,5,15,17,93,87,7,400
127,0,0,61,0,0.2226598,3300,14,0,1,0,0,7,75,8,60,27,4,644
128,0,0,59,0,0.218854341,19167,13,0,2,0,0,5,43,2,33,52,29,649
129,0,0.151912549,36,0,0.266394467,12000,22,0,2,0,0,8,67,18,79,63,57,496
130,0,0,59,0,0.351699622,4500,12,0,1,0,0,0,53,2,79,31,8,531
131,0,0.175727593,43,1,994,NA,4,0,1,0,0,3,34,11,43,28,34,628
132,0,0.011498563,77,0,0.001998002,1000,1,0,0,0,0,3,74,3,2,89,4,427
133,0,0,48,0,0.517468688,4550,7,0,2,0,0,5,37,17,17,57,84,329
134,0,0.163037489,81,0,0.086482558,2751,7,0,0,0,1,0,63,15,90,44,50,413
135,0,0.047311582,51,0,0.100920343,3150,5,0,0,0,0,0,36,3,59,69,35,950
136,0,0.083880003,53,0,0.199647533,7943,8,0,1,0,0,9,69,4,79,72,13,572
137,0,0.089478348,56,0,1.065901518,2700,11,0,1,0,2,4,21,2,68,51,45,359
138,0,0.773519223,63,0,1.129227053,4139,12,0,1,0,1,7,58,11,6,76,18,806
139,0,0.093962275,55,0,0.112051635,9450,6,0,2,0,0,9,13,18,34,31,4,396
140,0,0.21955042,54,0,0.315983758,5417,20,0,2,0,1,8,9,2,13,7,93,185
141,0,0.147996253,55,0,0.323088235,6799,5,0,1,0,0,7,86,11,2,46,82,228
142,0,0.576518559,72,0,3031,NA,11,0,1,0,0,3,18,1,18,48,49,542
143,0,0.243872021,53,0,0.534027778,8639,22,0,2,0,3,5,76,16,24,69,30,589
144,0,0.362483818,27,0,567,NA,4,0,0,0,0,3,72,0,51,9,91,609
145,0,0.116676791,31,0,0.343593791,3800,7,0,1,0,0,2,5,12,40,44,43,327
146,0,0.9999999,38,0,0.43369976,5821,7,0,1,0,4,8,40,12,89,18,56,530
147,0,0.496911825,40,0,0.452363811,12500,11,0,2,0,2,5,53,12,48,8,90,199
148,0,0.130902106,48,1,0.427882174,3937,17,0,1,0,0,2,85,3,30,84,60,283
149,0,0.54699881,50,0,0.748071979,3500,9,0,2,0,3,7,22,18,77,64,6,837
150,0,0.072277109,34,0,0.025911708,2083,2,0,0,0,0,4,25,12,29,51,67,606
151,0,0,48,2,0.370876375,3000,14,0,1,0,5,2,84,7,43,60,18,863
152,0,0.175932019,57,1,0.655812625,3500,9,0,1,0,1,8,31,16,63,79,56,220
153,0,0.050789842,30,0,0.315171207,4000,4,0,1,0,1,0,18,13,33,56,19,95
154,0,0,28,0,0.144616356,3166,7,0,0,0,0,1,32,6,70,16,90,252
155,0,0.21286031,36,0,0.563752087,9583,10,0,2,0,1,4,8,9,0,79,29,291
156,0,0.012682366,60,0,0.412979783,6825,20,0,2,0,0,6,33,0,77,15,6,382
157,0,0.121557062,58,0,0.342971419,12000,23,0,2,0,4,9,28,19,16,30,53,559
158,0,0.040795358,49,0,0.801999355,3100,11,0,1,0,0,5,90,7,45,56,17,934
159,0,0.147712223,40,0,0.034847816,6800,6,0,0,0,3,1,34,8,5,60,0,554
160,0,0,63,0,2,NA,4,0,0,0,NA,8,8,19,22,96,35,830
161,0,0,50,1,0.726566993,3477,5,0,1,0,1,0,25,14,86,83,21,130
162,0,0.070771911,38,0,2088,NA,6,0,1,0,0,3,90,13,14,12,5,465
163,1,1.046279103,47,1,1.104301274,5416,6,0,2,0,1,8,23,13,82,34,90,235
164,0,0.323719804,63,0,0.610841267,5146,9,0,2,0,2,8,13,9,40,95,95,898
165,0,0.36459777,42,0,0.593899089,6916,7,0,3,0,0,4,36,7,90,1,98,662
166,0,0.637736406,54,2,3.382196162,1875,9,0,2,0,0,3,13,10,86,44,49,607
167,0,0.081379827,63,0,1268,NA,8,0,1,0,0,8,95,4,83,69,18,254
168,0,0.020966389,29,0,639.5,1,3,0,1,0,2,5,23,8,78,29,38,477
169,0,0.170103002,36,0,0.138461538,7734,8,0,0,0,0,9,72,12,92,77,23,775
170,0,0.771845631,33,0,0.852429514,5000,7,0,3,0,0,2,31,6,82,35,14,247
171,0,0.05538241,72,0,0.089091313,4500,4,0,0,0,0,2,15,3,75,16,99,714
172,0,0.9999999,29,0,974,NA,2,0,0,0,0,8,91,13,51,87,23,242
173,0,0.16653274,53,0,0.543625949,7506,11,0,3,0,3,4,63,16,9,53,20,882
174,0,0.008632035,79,0,0.365151154,4200,9,0,1,0,0,4,82,14,64,33,69,318
175,0,0.13527952,58,0,0.342005076,9455,11,0,2,0,2,4,73,9,17,16,16,964
176,0,0.167571389,69,0,0.330733853,5000,10,0,1,0,1,6,42,15,36,21,18,866
177,0,0.9999999,69,0,0.005319149,2255,0,1,0,0,3,1,11,16,52,68,97,848
178,0,0.068335151,75,0,0.010927876,10065,9,0,0,0,0,0,82,17,26,65,72,881
179,0,0,41,0,0.907538526,2400,6,0,1,0,0,0,35,6,42,56,49,742
180,1,0.946963874,35,0,1593,NA,6,0,1,0,1,4,87,18,4,27,73,526
181,0,0.405183973,46,0,0.667835346,7700,22,0,2,0,1,4,17,6,62,48,4,961
182,0,0.055549313,65,0,2177,NA,6,0,1,0,1,3,56,2,1,48,67,759
183,0,0.676195456,55,0,0.436665827,3970,10,1,1,0,0,9,7,7,28,38,8,125
184,0,0.184986787,55,4,3144,NA,11,0,1,0,0,4,28,13,19,30,35,113
185,1,0.085338293,51,0,0.477503628,6200,11,0,1,0,0,5,21,13,73,70,98,963
186,1,0,25,0,0.152896812,2916,3,0,0,1,0,8,17,15,7,22,89,714
187,1,0.786485406,44,0,0.291709578,3883,7,2,0,2,1,1,32,2,42,78,23,119
188,0,0.0112096,86,0,13,NA,3,0,0,0,0,1,93,16,56,54,40,93
189,0,0.03833451,56,0,0.438912218,5000,7,0,2,0,0,1,43,15,18,52,39,566
190,0,0.714980139,55,0,0.47090194,15000,12,0,2,0,3,1,56,15,48,72,5,755
191,0,0.043032042,64,0,0.332016389,6833,14,0,2,0,0,7,7,2,17,89,80,688
192,0,1.095083357,53,5,0.536703799,3500,7,1,1,2,0,3,30,10,18,47,72,200
193,0,0,49,0,2932,NA,11,0,1,0,0,7,40,9,81,73,2,701
194,0,0.9999999,55,0,0.156259612,3250,5,0,0,0,4,4,97,17,62,10,88,246
195,0,0.101430135,80,1,0.016196761,5000,9,0,0,0,0,4,16,4,69,18,24,997
196,1,0.025892469,38,0,74.5,1,13,0,0,0,2,1,60,2,44,28,77,404
197,0,0.762158561,44,4,0.224465502,21000,5,0,1,0,3,2,0,13,1,8,39,600
198,0,0.231692268,40,0,0.119660709,3300,7,0,0,0,0,0,34,9,34,5,75,128
199,0,0.114869499,35,0,103,NA,6,0,0,0,0,7,20,12,8,40,37,469
200,0,0.035489848,69,0,0.308438695,3400,9,0,1,0,0,4,70,2,96,19,79,901
201,0,0.045423864,64,0,0.181311286,5200,4,0,1,0,0,0,90,18,91,12,33,519
202,0,0.311954668,61,0,0.269281443,9866,12,0,2,0,2,0,99,0,79,65,34,798
203,0,0.078738916,46,0,0.166215372,4800,6,0,1,0,4,5,77,13,9,97,29,96
204,0,0.137609462,49,0,0.429533892,7272,11,0,2,0,0,3,63,16,11,96,41,931
205,0,0.030173038,64,0,0.17386957,9000,8,0,1,0,0,9,61,15,67,27,77,566
206,0,0.021978375,40,0,0.443755624,10000,12,0,5,0,2,2,76,13,10,13,0,398
207,0,0.443696851,27,0,0.024340075,5833,4,0,0,0,0,8,27,15,57,30,45,600
208,0,0.007506793,60,0,1253,NA,8,0,1,0,1,4,24,9,85,55,62,352
209,0,0.046640328,92,1,0.034326669,2650,13,0,0,0,0,3,97,8,37,17,90,656
210,0,0.292365949,50,0,0.420180551,8750,8,0,2,0,0,6,9,2,34,18,68,728
211,0,0.20808276,64,0,2826,NA,14,0,2,0,0,2,57,7,94,82,87,152
212,0,0.9999999,66,1,0.358101135,1937,4,1,0,0,0,5,25,0,17,95,26,51
213,0,0.013500824,53,0,0.183464028,19000,8,0,1,0,2,4,61,15,90,43,94,323
214,0,0.9999999,62,0,0.04965839,6000,1,0,0,0,0,5,7,6,31,40,56,46
215,1,0.655316473,63,0,5223,NA,19,0,2,0,0,6,33,3,57,81,21,565
216,0,0.9999999,50,2,1208,NA,4,0,1,0,0,6,28,11,13,63,77,123
217,0,0.028113957,61,0,0.031349387,2200,12,0,0,0,0,7,88,12,64,82,28,671
218,0,0.222696207,42,0,800,1,3,0,1,0,2,6,86,10,14,88,54,185
219,0,0.593985244,63,0,0.332698534,5250,4,0,2,0,0,4,95,14,13,73,58,399
220,0,0.017508178,73,1,0.135589153,4166,12,0,1,0,0,6,14,9,7,93,67,122
221,0,0.611865678,72,0,0.04578345,7600,3,0,1,0,0,0,68,13,40,68,27,752
222,0,0.333060631,52,3,0.700153374,5215,15,0,2,1,0,7,22,9,63,42,4,373
223,0,0.009025178,45,0,0.376836435,8167,4,0,1,0,2,2,92,2,29,26,61,189
224,0,0.260271523,44,0,0.296854804,6962,11,0,1,0,0,1,45,4,84,60,37,183
225,0,0.455950788,63,1,0.701766078,6001,19,0,2,0,0,3,2,0,81,4,56,50
226,0,0.080288098,37,0,0.322446259,6000,7,0,1,0,0,2,0,1,99,60,56,361
227,1,1.953488372,38,0,0.153500141,3556,5,0,0,0,2,4,67,19,21,33,80,690
228,0,0.181557324,36,0,0.56071964,2000,7,0,1,0,1,1,51,0,85,82,22,241
229,0,0.147123525,41,0,0.436025621,6400,5,0,1,0,2,7,28,2,16,57,46,787
230,0,0.025601772,63,1,0.262773723,10000,8,0,1,0,0,5,86,2,0,32,37,891
231,0,0,76,0,0.002465931,7704,3,0,0,0,0,0,30,14,18,43,16,177
232,0,0.196372799,43,0,0.537485582,2600,10,0,1,0,0,7,1,9,28,72,3,606
233,0,0.083945242,64,0,0.588073078,2900,6,0,1,0,0,0,39,11,7,22,91,899
234,0,0.034833091,67,0,0.460246187,12916,9,0,2,0,0,6,17,2,30,29,6,685
235,0,0.787522133,52,0,0.353860086,4416,12,0,0,0,1,9,50,1,81,2,97,74
236,0,0,66,0,3730,NA,8,0,1,0,0,0,71,6,70,69,63,116
237,0,0.125429152,55,0,0.476704659,5000,3,0,2,0,0,1,23,10,94,34,33,943
238,0,0.06037487,42,0,0.578676723,5833,17,0,2,0,2,2,71,2,71,82,94,101
239,0,0.9999999,28,0,0,NA,0,0,0,0,NA,7,52,0,46,90,78,991
240,0,0.295928252,47,0,0.283765445,14000,6,0,2,0,1,1,90,18,97,85,17,159
241,1,0.973339258,61,1,0.209961825,5500,11,0,0,1,1,2,9,18,13,5,62,798
242,0,0.002856735,73,0,0.000285687,10500,10,0,0,0,0,9,29,0,81,92,67,834
243,0,0.877564897,58,0,2825,NA,10,0,2,0,0,9,69,11,31,69,35,182
244,0,0.9999999,68,0,0.040493251,6000,0,0,0,0,0,5,10,0,79,77,70,588
245,0,0.053431552,41,0,0.20364404,9000,3,0,1,0,0,7,63,9,27,68,97,744
246,0,0.732660667,44,2,0.14041952,9200,15,0,1,0,0,4,48,15,41,87,11,851
247,0,0.084220458,42,0,0.458551158,6694,26,0,2,0,4,4,33,11,5,8,97,62
248,0,0.114561798,40,0,0.359964004,10000,20,0,2,0,2,3,44,7,51,64,35,450
249,0,0.012151003,78,0,0.008886914,4500,12,0,0,0,0,5,70,2,79,5,39,801
250,0,0.081310737,81,0,0.165566887,3333,4,0,0,0,0,3,76,6,84,40,77,648
251,0,0.09811305,49,0,0.257017809,6625,9,0,2,0,0,9,90,16,69,59,61,455
252,1,1.048210842,58,7,0.151956584,3500,12,0,0,0,0,6,90,5,75,42,40,691
253,0,0.011883886,54,0,0.092913547,9750,8,0,1,0,2,2,7,6,36,43,2,770
254,0,0.75264947,33,1,0.058322869,7166,6,0,0,0,0,6,95,2,92,99,4,311
255,0,0.112321289,53,0,0.266909775,8500,9,0,1,0,5,4,82,10,85,87,90,574
256,0,0,23,0,0,1725,1,0,0,0,0,3,99,7,99,87,58,516
257,0,0.634327056,49,1,0.123125125,15000,7,0,0,0,1,0,63,4,5,74,49,465
258,0,0.15576324,44,0,0.278077082,4825,4,0,1,0,2,5,25,18,70,75,14,138
259,0,0,63,0,0.007988922,9387,9,0,0,0,0,4,40,15,8,78,55,70
260,0,0.090614887,42,0,86,NA,5,0,0,0,0,9,2,11,44,2,0,983
261,0,0.034645112,65,0,0.125189985,12500,4,0,1,0,1,6,29,15,10,59,89,210
262,0,0.027446383,54,0,1612,NA,6,0,1,0,0,7,61,1,36,17,28,461
263,0,0.412398622,28,0,0.037259615,4991,5,0,0,0,0,4,77,4,28,87,53,388
264,0,0.024670782,78,0,392,NA,6,0,1,0,NA,0,1,17,43,13,91,543
265,0,0.046710961,66,0,1.117952819,2500,12,0,1,0,0,5,25,2,15,79,98,946
266,0,0.976531824,32,0,0.264078812,6800,6,0,0,0,2,9,67,15,4,98,55,395
267,0,0.007982621,43,1,0.009691169,208333,11,0,1,0,1,5,68,16,87,18,57,184
268,0,0.267541336,59,0,0.637607437,5700,13,0,2,0,1,5,0,0,39,70,69,269
269,0,0.019779326,76,0,0.267149259,2900,9,0,0,0,0,9,96,18,94,24,63,241
270,0,0.010402205,68,0,0.094140517,3600,6,0,1,0,0,6,60,10,13,98,43,420
271,0,0.9999999,61,0,0.529548989,1285,3,0,1,0,0,1,85,15,32,83,37,411
272,0,0.029816467,68,0,0.175139978,4464,12,0,1,0,1,3,66,7,13,1,60,462
273,0,0.181713732,57,0,0.130453416,11666,17,0,1,0,1,2,44,12,36,22,23,691
274,0,0.051368557,68,0,0.445277361,4668,10,0,1,0,2,1,15,4,70,73,12,90
275,0,0.29264536,57,0,0.205927884,26484,11,0,2,0,3,8,55,9,16,17,30,316
276,1,0.220823719,46,1,0.637749121,1705,5,0,0,0,0,8,56,17,71,46,49,857
277,0,0.008099838,69,0,0.389895596,8332,3,0,1,0,0,9,57,7,74,26,26,764
278,0,0,44,0,0.326383681,6666,4,0,2,0,1,2,79,14,89,0,48,120
279,0,0.006099797,28,0,0.139429485,3750,8,0,0,0,0,1,97,4,68,89,39,625
280,0,0.909538698,53,1,0.595653913,7500,16,0,1,0,1,7,28,0,52,20,68,540
281,0,0.941072508,40,0,0.178184282,8855,9,0,1,0,0,8,87,2,82,37,48,983
282,0,0.991667222,36,1,0.554878049,5411,10,0,2,0,1,9,57,18,66,80,8,597
283,0,0.691488418,42,0,0.272721679,16250,11,0,1,0,1,6,37,3,92,12,92,914
284,0,0.112855258,64,0,0.307576329,2652,6,0,1,0,0,8,89,15,30,72,47,964
285,0,0.260971034,57,0,5439,NA,16,0,3,0,NA,7,71,18,82,69,93,554
286,0,0.048244493,62,0,0.262879153,16615,11,0,1,0,1,4,0,18,14,35,85,856
287,0,0.9999999,47,0,0.092163472,9493,2,2,0,1,0,7,33,5,28,20,33,221
288,0,0.9999999,62,0,0,5480,3,0,0,0,0,7,58,5,16,42,26,418
289,0,0.074256375,49,0,0.347930414,5000,11,0,2,0,3,7,20,4,72,72,8,325
290,0,0.144878408,66,0,0.28446242,8900,9,0,1,0,0,2,31,11,7,77,94,741
291,0,0.191001932,54,0,0.705627706,5081,10,0,2,0,2,0,63,7,77,11,74,310
